id_module,module,id_group,group,id_class,class,level,,,,,,,,,,,,,,
139,Falsas Doctrinas,61,Falsas Doctrinas,551,Falsas Doctrinas,4,,,,,,,,,,,,,,
140,Cristología,62,Cristología,552,Cristologia I,4,,,,,,,,,,,,,,
140,Cristología,62,Cristología,617,El poder de la sangre,4,,,,,,,,,,,,,,
141,Guerra Espiritual,63,Guerra Espiritual,553,Despierta y vistete de poder,4,,,,,,,,,,,,,,
142,Teología IV,64,Teología IV,554,Fusion eterna,4,,,,,,,,,,,,,,
143,Blasfemia contra el Espíritu Santo,65,Blasfemia contra el Espíritu Santo,555,Blasfemia contra el Espíritu Santo,4,,,,,,,,,,,,,,
144,Segunda Venida,66,Segunda Venida,556,Segunda Venida,4,,,,,,,,,,,,,,
78,Clases asociadas,67,Clases asociadas,557,El Altar,4,,,,,,,,,,,,,,
78,Clases asociadas,67,Clases asociadas,558,Virginidad Perpetua de María,4,,,,,,,,,,,,,,
145,Tesis IV,68,Tesis IV,559,Tesis IV,4,,,,,,,,,,,,,,
149,Etica Ministerial,69,Etica Ministerial,616,Etica Ministerial,4,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
